Andrenidae
"   Andrena akitsushimae Tadauchi and Hirashima, 1984"
"   Andrena alamonis Viereck, 1917 -- Andrena (Scrapter) alamonis Viereck, 1917"
"   Andrena alashanica Popov, 1949"
"   Andrena albicaudata Hirashima, 1966"
"   Andrena albiculta Viereck, 1917 -- Andrena (Andrena) albiculta Viereck, 1917; Andrena (Elandrena) albiculta Viereck, 1917"
"   Andrena albifacies Alfken, 1926 -- Andrena rutila var albifacies Alfken, 1926"
"   Andrena albopicta Radoszkowski, 1874"
"   Andrena albopunctata (Rossi, 1792) -- Apis albopunctata Rossi, 1792; Andrena funebris Panzer, 1798; Andrena lugubris_homonym Lepeletier, 1841; Andrena nigro-barbata Morawitz, 1871; Andrena nigrobarbata Morawitz, 1871; Andrena macularis Kriechbaumer, 1873; Andrena lugubrescens Cockerell, 1917, replacement name; Andrena albopunctata melona Warncke, 1967"
"   Andrena alceae LaBerge, 1986"
"   Andrena alchata Warncke, 1974"
"   Andrena alfkenella Perkins, 1914 -- Andrena moricella Perkins, 1914, male not female; Andrena pillichi Noskiewicz, 1939; Andrena pilichi Noskiewicz, 1939, incorrect spelling; Andrena alfkenella sunna Warncke, 1975"
"   Andrena alfkenelloides Warncke, 1965 -- Andrena alfkenelloides cardalia Warncke, 1975"
"   Andrena algida Smith, 1853 -- Andrena fragiliformis Cockerell, 1906; Andrena fernaldiella Viereck and Cockerell, 1914; Andrena brachycarpae Viereck and Cockerell, 1914; Andrena (Andrena) fuscisignata Viereck, 1917; Andrena (Andrena) albisigna Viereck, 1922"
"   Andrena aliciae Robertson, 1891 -- Pterandrena aliciae (Robertson, 1891)"
"   Andrena aliciarum Cockerell, 1897"
"   Andrena alijevi Osytshnjuk, 1986"
"   Andrena alisadra Ariana, Scheuchl, Tadauchi and Gusenleitner, 2010"
"   Andrena alleghaniensis Viereck, 1907 -- Andrena (Trachandrena) alleghaniensis Viereck, 1907"
"   Andrena allosa Warncke, 1975 -- Andrena allosa canigica Warncke, 1975"
"   Andrena alluaudi Benoist, 1961"
"   Andrena almas Tadauchi, Miyanaga and Dawut, 2005"
"   Andrena altaica Lebedev, 1932"
"   Andrena alutacea Stoeckhert, 1942"
"   Andrena amamiensis Hirashima, 1960"
"   Andrena amarilla Cockerell, 1949"
"   Andrena amicula Warncke, 1967"
"   Andrena amieti Praz, Müller and Genoud, 2019"
"   Andrena amoena Morawitz, 1876"
"   Andrena amphibola (Viereck, 1904) -- Trachandrena amphibola Viereck, 1904; Trachandrena crassihirta Viereck, 1904; Trachandrena perdensa Viereck, 1904; Trachandrena hadra Viereck, 1904; Trachandrena limarea Viereck, 1904; Andrena (Trachandrena) eriogoni Cockerell, 1927; Andrena (Trachandrena) seneciophila Cockerell, 1928"
"   Andrena ampla Warncke, 1967 -- Andrena proxima ampla Warncke, 1967"
"   Andrena anatolica Alfken, 1935"
"   Andrena anatolis Linsley and MacSwain, 1961"
"   Andrena andrenoides (Cresson, 1878) -- Panurgus andrenoides Cresson, 1878; Panurgus rufocinctus Ashmead, 1890; Andrena andrenoides form bicolor_homonym Robertson, 1898; Andrena (Parandrena) andrenoides var clarigastra Viereck, 1908, replacement name; Parandrena andrenoides (Cresson, 1878)"
"   Andrena angarensis Cockerell, 1929"
"   Andrena angelesia Timberlake, 1951 -- Andrena (Oligandrena) angelesia Timberlake, 1951"
"   Andrena angustella Cockerell, 1936 -- Andrena (Pterandrena) lupini Cockerell, 1936"
"   Andrena angusticrus LaBerge, 1971"
"   Andrena angustior (Kirby, 1802) -- Melitta angustior Kirby, 1802; Andrena angusta Illiger, 1806, incorrect spelling; Andrena lacinia Smith, 1847; Andrena angustior impressa Warncke, 1967; Andrena (Ptilandrena) angustior impressa Warncke, 1967, valid subspecies"
"   Andrena angustitarsata Viereck, 1904 -- Andrena mustelicolor Viereck, 1904; Pterandrena nudiscopa Viereck, 1904; Andrena opaciventris_homonym Cockerell, 1916; Andrena (Andrena) friesei Viereck, 1917; Andrena (Andrena) angustitarsata race huardi Viereck, 1917, possible unpublished synonym proposed by Ascher; Andrena opacissima Cockerell, 1918; Andrena (Platandrena) opacibasis Cockerell, 1936"
"   Andrena anisochlora Cockerell, 1936 -- Andrena (Micrandrena) dinognatha Timberlake, 1938"
"   Andrena annapurna Tadauchi and Matsumura, 2007"
"   Andrena annectens Ribble, 1968"
"   Andrena anograe Cockerell, 1901 -- Andrena micranthophila Cockerell, 1906; Andrena (Melandrena) anograe Cockerell, 1901; Andrena (Onagrandrena) anograe knowltoni Linsley and MacSwain, 1961"
"   Andrena anonyma Cameron, 1897"
"   Andrena anthracina Morawitz, 1880"
"   Andrena anthrisci Blüthgen, 1925"
"   Andrena antigana Pérez, 1895 -- Andrena rungsii Benoist, 1937"
"   Andrena antilibanotica Wood, 2020"
"   Andrena antonitonis Viereck and Cockerell, 1914"
"   Andrena anzu Tadauchi and Hirashima, 1987"
"   Andrena apacheorum Cockerell, 1897"
"   Andrena apasta Linsley and MacSwain, 1961"
"   Andrena apicata Smith, 1847 -- Andrena apicatus_sic Smith, 1847; Andrena apicata var tristis Alfken, 1905; Andrena apicata var kamtschatica Alfken, 1929"
"   Andrena apiformis Kriechbaumer, 1873 -- Andrena grossa Friese, 1887"
"   Andrena aquila LaBerge, 1971 -- Andrena (Andrena) stictigastra Viereck 1917, possible senior synonym"
"   Andrena arabis Robertson, 1897 -- Andrena (Pterandrena) brassicae_homonym Mitchell, 1960"
"   Andrena arctostaphylae Ribble, 1968"
"   Andrena ardis LaBerge, 1967"
"   Andrena arenata Osytshnjuk, 1983"
"   Andrena arenicola LaBerge and Ribble, 1972"
"   Andrena argemonis Cockerell, 1896 -- Andrena (Schizandrena) argemonis Cockerell, 1896"
"   Andrena argentata Smith, 1844 -- Andrena gracilis_homonym Schenck, 1869; Andrena albizona Alfken, 1939"
"   Andrena argentiscopa Viereck, 1917 -- Andrena (Andrena) argentiscopa Viereck, 1917"
"   Andrena argyreofasciata Schmiedeknecht, 1900 -- Andrena argyreo-fasciata Schmiedeknecht, 1900"
"   Andrena arima Cameron, 1909"
"   Andrena armeniaca Popov, 1940 -- Andrena (Ulandrena) armeniaca Popov, 1940"
"   Andrena arsinoe Schmiedeknecht, 1900 -- Andrena disparilis Walker, 1871, possible synonym; Anthrena arsinoe Schmiedeknecht, 1900"
"   Andrena aruana Warncke, 1967"
"   Andrena asiatica Friese, 1921 -- Andrena asiatica oxyura Warncke, 1975; Andrena (Nobandrena) asiatica Friese, 1921"
"   Andrena asperrima Pérez, 1895 -- Andrena atricapilla Pérez, 1895; Andrena flessae var elcheensis Friese, 1922; Andrena hemicyanea Cockerell, 1930; Andrena (Agandrena) asperrima alascana Warncke, 1974"
"   Andrena asperula Osytshnjuk, 1977"
"   Andrena assimilis Radoszkowski, 1876 -- Andrena gallica Schmiedeknecht, 1883; Andrena gallica alpicola Bischoff, 1922; Andrena gallica fulvitegularis Bischoff, 1922; Andrena gallica taurica Bischoff, 1922; Andrena gallica iberica Bischoff, 1922; Andrena barnei Cockerell, 1931; Andrena thoracica var hirsuta_homonym Friese, 1922; Andrena assimilis gallica Schmiedeknecht, 1883"
"   Andrena asteris Robertson, 1891"
"   Andrena asteroides Mitchell, 1960 -- Andrena (Pterandrena) asteroides Mitchell, 1960"
"   Andrena astica Warncke, 1967"
"   Andrena astragali Viereck and Cockerell, 1914 -- Andrena zygadeni Cockerell, 1932; Andrena (Xanthandrena) astragali Viereck and Cockerell, 1914; Andrena (Xanthandrena) zygadeni Cockerell, 1932"
"   Andrena astrella Warncke, 1975"
"   Andrena athenensis Warncke, 1965"
"   Andrena atlantica Mitchell, 1960 -- Andrena (Trachandrena) atlantica Mitchell, 1960"
"   Andrena atrata Friese, 1887"
"   Andrena atrohirta Morawitz, 1893"
"   Andrena atrotegularis Hedicke, 1923 -- Andrena ephippium var macedonica_homonym Friese, 1923; Andrena ephippium var atrotegularis Hedicke, 1923, replacement name"
"   Andrena atypica (Cockerell, 1941) -- Parandrena atypica Cockerell, 1941"
"   Andrena auricoma Smith, 1879 -- Andrena (Xanthandrena) auricoma Smith, 1879"
"   Andrena auriculata Xu and Tadauchi, 2006"
"   Andrena aurihirta Donovan, 1977"
"   Andrena auripes LaBerge, 1967"
"   Andrena austroinsularis Tadauchi and Hirashima, 1983 -- Andrena (Simandrena) opacifovea austroinsularis Tadauchi and Hirashima, 1983"
"   Andrena autumnalis Viereck and Cockerell, 1914"
"   Andrena avara Warncke, 1967 -- Andrena (Avandrena) avara caligata Warncke, 1974; Andrena (Avandrena) avara eureka Warncke, 1974; Andrena (Avandrena) avara gavia Warncke, 1974; Andrena (Avandrena) avara liturata Warncke, 1974"
"   Andrena avulsa LaBerge and Ribble, 1972"
"   Andrena azerbaidshanica Lebedev, 1932"
"   Andrena babai Tadauchi and Hirashima, 1987"
"   Andrena baeriae Timberlake, 1941"
"   Andrena baetica Wood, 2020"
"   Andrena bairacumensis Morawitz, 1876"
"   Andrena balsamorhizae LaBerge, 1967"
"   Andrena balucha Nurse, 1904"
